Code,Name,Close,Changes,ChagesRatio,Volume,Marcap,ROA,PER
102120,어보브반도체,8180,20,0.25,36400,145446559540,-6.2,-30.5
362320,청담글로벌,7070,-110,-1.53,115866,145297620300,7.5,81.33
012860,모베이스전자,1970,-11,-0.56,388946,144269910290,2.1,16.06
005430,한국공항,45450,-200,-0.44,12401,143910834750,3.6,8.13
090850,현대이지웰,6060,-120,-1.94,74845,143902947660,10.6,
234340,헥토파이낸셜,15200,60,0.4,2981,143685600000,3.5,11.08
004970,신라교역,8980,20,0.22,7972,143680000000,2.3,-541.84
032860,더라미,3640,0,0.0,0,143288374320,-11.3,-13.25
02826K,삼성물산우B,87900,-100,-0.11,1617,143050657500,,8.78
291230,엔피,3270,-45,-1.36,532795,143031137430,-4.4,-62.29
007980,태평양물산,2890,165,6.06,4455136,142904006170,2.5,3.23
026150,특수건설,8130,230,2.91,520381,142651671030,0.6,135.55
261200,덴티스,9050,-50,-0.55,33371,142576795100,4.8,-88.62
267320,나인테크,3265,-20,-0.61,154972,142563299560,2.2,49.6
004090,한국석유,11230,-70,-0.62,140697,142554967600,3.0,10.71
006490,인스코비,1236,-11,-0.88,127838,142511013828,-1.7,-28.02
300120,라온피플,6830,20,0.29,66242,142309961960,-12.6,-25.96
046210,HLB파나진,3470,0,0.0,113083,142285708690,3.6,123.77
006910,보성파워텍,2895,-25,-0.86,211663,142230840480,5.6,-25.44
094280,효성ITX,12300,0,0.0,6251,142165860000,8.8,11.63
055490,테이팩스,29750,-250,-0.83,14803,141748337500,4.6,21.79
011700,한신기계,4365,-85,-1.91,266033,141627449115,-0.9,-40.96
214330,금호에이치티,721,30,4.34,2814751,141420475784,-0.5,-7.48
058850,KTcs,3310,-55,-1.63,391033,141287350000,4.9,9.96
002170,삼양통상,46900,0,0.0,301,140700000000,7.9,5.5
366030,공구우먼,6220,-110,-1.74,46488,140686137000,14.5,14.08
311690,CJ 바이오사이언스,15430,-560,-3.5,34772,140605905860,-40.9,-3.66
092190,서울바이오시스,3670,-10,-0.27,14945,140280806510,-13.3,-1.48
005960,동부건설,6130,90,1.49,34841,140222910190,-1.4,-302.05
024900,덕양산업,4305,-45,-1.03,95868,140192238900,1.9,11.08
109740,디에스케이,5180,0,0.0,8950,139989033800,2.5,-333.97
261780,차백신연구소,5230,-130,-2.43,55438,139808773170,-7.8,-28.98
104540,코렌텍,10940,-200,-1.8,19236,139565627800,4.0,38.88
007540,샘표,48450,50,0.1,1943,139332510000,3.1,19.39
021080,에이티넘인베스트,2885,40,1.41,122544,138480000000,-1.7,-25.51
371950,풍원정밀,6580,-30,-0.45,26143,138446411040,-8.4,-77.29
105330,케이엔더블유,8620,-70,-0.81,12946,138437441360,4.3,10.65
020710,시공테크,6900,380,5.83,803608,138330993000,5.0,12.72
054620,APS,6780,-150,-2.16,22626,138272818380,0.2,28.18
037460,삼지전자,8470,110,1.32,42862,138217881340,4.9,2.49
293580,나우IB,1442,-14,-0.96,1993781,138100340000,2.2,19.56
210540,디와이파워,12500,-160,-1.26,18021,138021350000,9.5,5.16
443250,레뷰코퍼레이션,12420,140,1.14,46238,137806432920,8.8,
092870,엑시콘,12690,40,0.32,48488,137671233930,5.4,13.3
082850,우리바이오,2840,5,0.18,494111,137559881520,4.4,7.7
159010,아스플로,10280,310,3.11,33334,137081116920,7.5,18.02
009270,신원,1335,26,1.99,144562,136952785260,2.1,18.38
067900,와이엔텍,7520,-50,-0.66,44464,136861435680,7.7,5.74
072870,메가스터디,11390,80,0.71,10252,135779723010,4.8,6.55
216050,인크로스,10560,10,0.09,25178,135624424320,5.6,11.04
002200,한국수출포장,3385,35,1.04,6756462,135400000000,6.2,5.9
451220,아이엠티,17190,-30,-0.17,216258,135364563090,-9.1,
007330,푸른저축은행,8970,20,0.22,13768,135292716000,1.6,4.71
002700,신일전자,1904,13,0.69,452662,135274479984,1.1,43.18
365330,에스와이스틸텍,4415,-395,-8.21,4539508,135143150000,19.5,
054780,키이스트,6910,150,2.22,40647,135075249630,-0.1,-68.83
003830,대한화섬,101600,400,0.4,94,134924800000,2.8,4.99
102370,케이옥션,4965,405,8.88,7669567,134919580275,-1.3,-80.76
004080,신흥,14200,-30,-0.21,2265,134900000000,5.8,14.95
138080,오이솔루션,12680,100,0.79,11842,134713524600,-16.3,-8.78
000860,강남제비스코,20700,-50,-0.24,5015,134550000000,1.5,16.73
014940,오리엔탈정공,2950,45,1.55,85000,134442299950,6.5,15.51
085670,뉴프렉스,5490,-70,-1.26,189617,134234677890,-0.9,92.43
061250,화일약품,2015,-25,-1.23,288908,134063644390,4.1,272.89
066700,테라젠이텍스,4120,-75,-1.79,86330,133794672200,2.2,32.05
372910,한컴라이프케어,4830,45,0.94,41774,133667380980,-0.8,19.22
407400,꿈비,10900,330,3.12,5170824,133628266600,-12.5,
264850,이랜시스,4490,-20,-0.44,823041,133579349880,9.0,19.87
00279K,아모레G3우(전환),18820,-140,-0.74,4188,133475204000,,30.67
389470,인벤티지랩,15850,-180,-1.12,863056,133434112600,-45.2,
088800,에이스테크,1905,-24,-1.24,974664,133209169065,-20.7,-3.27
432430,와이랩,8290,80,0.97,841360,132762857800,,
071200,인피니트헬스케어,5440,-20,-0.37,73942,132716731520,9.3,10.61
149980,하이로닉,8630,30,0.35,82639,132377580790,3.3,97.91
038390,레드캡투어,15400,0,0.0,5540,132277992000,2.5,7.87
049720,고려신용정보,9250,20,0.22,48034,132275000000,12.2,11.87
115160,휴맥스,3005,0,0.0,103024,132130222620,-7.7,-2.47
047820,초록뱀미디어,5400,0,0.0,0,132051222000,5.3,-3.03
010600,웰바이오텍,1452,-28,-1.89,1698252,132020786964,3.4,-14.72
200230,텔콘RF제약,1180,91,8.36,1604929,132020114540,30.8,12.05
053580,웹케시,9670,-190,-1.93,28880,131862518160,9.2,13.84
